au13,year,community_001,community_002,community_003,community_004,community_005,community_006,community_007,community_008,community_009,community_010,community_011,community_012,community_013,community_014,community_015,community_016,community_017,community_018,community_019,community_020,community_021,community_022,community_023,community_024,community_025,community_026,community_027,community_028,community_029,community_030,community_031,community_032,community_033,community_034,community_035,community_036,community_037,community_038,community_039,community_040,community_041,community_042,community_043,community_044,community_045,community_046,community_047,community_048,community_049,community_050,community_051,community_052,community_053,community_054,community_055,community_056,community_057,community_058,community_059,community_060,community_061,community_062,community_063,community_064,community_065,community_066,community_067,community_068,community_069,community_070,community_071,community_072,community_073,community_074,community_075,community_076,community_077,community_078,community_079,community_080,community_081,community_082,community_083,community_084,community_085,community_086,community_087,community_088,community_089,community_090,community_091,community_092,community_093,community_094,community_095,community_096,community_097,community_098,community_099,community_100,community_101,community_102,community_103,community_104,community_105,community_106,community_107,community_108,community_109,community_110,community_111,community_112,community_113,community_114,community_115,community_116,community_117,community_118,community_119,community_120,community_121,community_122,community_123,community_124,community_125,community_126,community_127,community_128,community_129,community_130,community_131,community_132,community_133,community_134,community_135,community_136,community_137,community_138,community_139,community_140,community_141,community_142,community_143,community_144,community_145,community_146,community_147,community_148,community_149,community_150,community_151,community_152,community_153,community_154,community_155,community_156,community_157,community_158,community_159,community_160,community_161,community_162,community_163,community_164,community_165,community_166,community_167,community_168,community_169,community_170,community_171,community_172,community_173,community_174,community_175,community_176,community_177,community_178,community_179,community_180,community_181,community_182,community_183,community_184,community_185,community_186,community_187,community_188,community_189,community_190,community_191,community_192,community_193,community_194,community_195,community_196,community_197,community_198,community_199,community_200,community_201,community_202,community_203,community_204,community_205,community_206,community_207,community_208,community_209,community_210,community_211,community_212,community_213,community_214,community_215,community_216,community_217,community_218,community_219,community_220,community_221,community_222,community_223,community_224,community_225,community_226,community_227,community_228,community_229,community_230,community_231,community_232,community_233,community_234,community_235,community_236,community_237,community_238,community_239,community_240,community_241,community_242,community_243,community_244,community_245,community_246,community_247,community_248,community_249,community_250
556100,2006,6,7,5,6,6,4,4,6,6,6,6,4,7,6,2,1,3,8,6,8,7,4,5,5,1,6,7,6,7,6,6,3,5,7,1,4,6,1,7,5,5,7,6,4,5,1,3,1,3,4,4,4,7,3,8,7,1,3,6,7,7,3,6,2,6,3,7,3,7,7,4,1,6,3,3,7,7,6,6,7,5,7,3,4,5,6,2,7,2,4,5,7,4,5,7,2,5,4,6,6,2,2,5,2,2,6,5,2,2,5,4,6,5,6,7,8,6,6,6,7,2,5,6,3,5,6,2,3,7,1,6,5,7,8,6,6,7,2,5,6,6,1,6,5,5,7,4,6,5,8,2,2,1,8,6,4,6,5,4,4,2,5,4,7,3,5,2,7,2,5,5,7,4,6,4,6,7,4,7,3,6,4,5,4,6,7,4,7,4,5,7,4,4,5,3,5,4,4,4,6,2,6,8,5,7,7,4,3,2,4,5,5,5,8,4,4,7,6,2,8,6,5,4,5,4,3,5,6,5,5,5,2,3,5,7,2,7,4,8,2,4,6,7,7,6,4,6,7,4,6
556100,2013,3,2,9,10,1,8,11,10,9,8,3,3,2,5,10,9,9,7,10,10,6,7,6,10,4,4,7,10,11,7,7,11,6,8,8,9,7,8,3,1,8,8,3,9,6,3,7,6,9,9,2,7,9,10,3,5,7,5,11,8,11,5,8,11,5,6,4,8,11,8,3,2,6,8,9,5,3,3,1,11,1,3,3,9,4,10,11,8,3,2,6,9,8,10,7,10,5,11,3,10,7,4,6,10,9,5,1,6,9,8,8,3,10,5,7,7,8,6,5,6,3,8,4,3,4,3,7,9,11,8,5,4,10,1,4,4,10,9,9,3,2,11,8,9,5,6,3,8,4,11,5,9,7,4,6,7,5,3,7,7,2,4,8,7,9,1,3,7,5,10,7,2,3,3,9,9,9,9,3,6,8,5,1,9,9,3,3,4,10,7,6,11,9,9,1,9,11,9,8,7,6,7,5,11,6,2,4,10,5,8,10,9,7,5,5,4,10,5,5,3,5,4,2,10,9,3,3,7,6,9,10,4,10,1,8,9,5,7,3,10,7,4,5,6,3,9,3,9,8,3
556200,2001,5,1,3,5,6,4,4,3,3,3,3,5,1,1,4,7,3,2,8,3,1,2,7,1,5,4,3,2,7,2,2,7,5,6,6,7,2,8,1,3,3,5,2,4,4,1,5,4,2,4,8,1,3,7,3,2,3,1,5,5,2,1,4,1,3,8,2,1,3,5,4,3,1,3,1,7,4,4,4,4,3,7,5,6,1,3,7,6,5,3,5,2,4,3,3,8,8,7,3,4,4,4,4,2,1,2,8,2,4,4,8,5,5,3,4,1,3,6,7,5,5,3,6,3,2,1,6,3,5,4,7,2,4,1,3,1,4,3,7,6,1,1,8,5,8,8,7,5,4,2,8,3,1,4,5,6,1,1,2,3,3,5,2,4,3,5,4,8,7,5,2,2,9,4,4,6,1,3,3,1,4,1,4,5,2,4,2,6,4,8,1,7,6,4,2,3,4,3,2,3,7,3,3,7,5,8,4,5,7,7,6,1,3,1,4,3,1,6,1,2,3,2,6,4,4,4,2,5,4,5,7,7,2,3,3,1,1,3,7,4,2,7,1,6,2,1,3,4,2,1
556200,2006,6,7,5,6,6,4,4,6,6,6,6,4,7,6,2,1,3,8,6,8,7,4,5,5,1,6,7,6,7,6,6,3,5,7,1,4,6,1,7,5,5,7,6,4,5,1,3,1,3,4,4,4,7,3,8,7,1,3,6,7,7,3,6,2,6,3,7,3,7,7,4,1,6,3,3,7,7,6,6,7,5,7,3,4,5,6,2,7,2,4,5,7,4,5,7,2,5,4,6,6,2,2,5,2,2,6,5,2,2,5,4,6,5,6,7,8,6,6,6,7,2,5,6,3,5,6,2,3,7,1,6,5,7,8,6,6,7,2,5,6,6,1,6,5,5,7,4,6,5,8,2,2,1,8,6,4,6,5,4,4,2,5,4,7,3,5,2,7,2,5,5,7,4,6,4,6,7,4,7,3,6,4,5,4,6,7,4,7,4,5,7,4,4,5,3,5,4,4,4,6,2,6,8,5,7,7,4,3,2,4,5,5,5,8,4,4,7,6,2,8,6,5,4,5,4,3,5,6,5,5,5,2,3,5,7,2,7,4,8,2,4,6,7,7,6,4,6,7,4,6
556200,2013,3,2,9,10,1,8,11,10,9,8,3,3,2,5,10,9,9,7,10,10,6,7,6,10,4,4,7,10,11,7,7,11,6,8,8,9,7,8,3,1,8,8,3,9,6,3,7,6,9,9,2,7,9,10,3,5,7,5,11,8,11,5,8,11,5,6,4,8,11,8,3,2,6,8,9,5,3,3,1,11,1,3,3,9,4,10,11,8,3,2,6,9,8,10,7,10,5,11,3,10,7,4,6,10,9,5,1,6,9,8,8,3,10,5,7,7,8,6,5,6,3,8,4,3,4,3,7,9,11,8,5,4,10,1,4,4,10,9,9,3,2,11,8,9,5,6,3,8,4,11,5,9,7,4,6,7,5,3,7,7,2,4,8,7,9,1,3,7,5,10,7,2,3,3,9,9,9,9,3,6,8,5,1,9,9,3,3,4,10,7,6,11,9,9,1,9,11,9,8,7,6,7,5,11,6,2,4,10,5,8,10,9,7,5,5,4,10,5,5,3,5,4,2,10,9,3,3,7,6,9,10,4,10,1,8,9,5,7,3,10,7,4,5,6,3,9,3,9,8,3
556300,2001,6,5,8,4,8,4,4,7,3,3,3,1,1,1,4,7,5,5,8,6,6,2,7,1,5,4,3,2,7,4,2,6,1,6,5,7,4,8,1,4,4,8,2,4,4,1,6,6,2,5,8,1,3,4,3,8,6,6,3,5,2,1,4,1,5,4,8,2,6,5,4,5,6,3,1,7,4,4,4,4,3,7,3,6,7,3,3,3,5,4,4,7,4,3,6,5,4,7,8,4,6,4,4,4,1,2,6,2,4,4,8,8,5,3,4,1,6,6,7,7,5,5,7,7,6,1,6,6,4,8,4,2,4,1,3,1,4,3,1,5,3,1,4,5,2,7,6,6,4,7,8,7,6,6,5,5,3,4,2,7,4,5,6,5,3,5,4,7,6,5,2,2,6,1,4,3,6,7,8,1,4,1,5,7,2,6,2,2,4,7,6,8,6,4,2,3,8,3,5,7,3,4,3,4,5,3,4,5,7,7,6,1,3,1,4,3,6,6,1,4,3,2,6,4,5,6,2,8,4,4,7,7,6,3,1,1,7,3,7,4,4,2,1,4,5,6,3,4,2,3
556300,2006,6,7,5,6,6,4,4,6,6,6,6,4,7,6,2,1,3,8,6,8,7,4,5,5,1,6,7,6,7,6,6,3,5,7,1,4,6,1,7,5,5,7,6,4,5,1,3,1,3,4,4,4,7,3,8,7,1,3,6,7,7,3,6,2,6,3,7,3,7,7,4,1,6,3,3,7,7,6,6,7,5,7,3,4,5,6,2,7,2,4,5,7,4,5,7,2,5,4,6,6,2,2,5,2,2,6,5,2,2,5,4,6,5,6,7,8,6,6,6,7,2,5,6,3,5,6,2,3,7,1,6,5,7,8,6,6,7,2,5,6,6,1,6,5,5,7,4,6,5,8,2,2,1,8,6,4,6,5,4,4,2,5,4,7,3,5,2,7,2,5,5,7,4,6,4,6,7,4,7,3,6,4,5,4,6,7,4,7,4,5,7,4,4,5,3,5,4,4,4,6,2,6,8,5,7,7,4,3,2,4,5,5,5,8,4,4,7,6,2,8,6,5,4,5,4,3,5,6,5,5,5,2,3,5,7,2,7,4,8,2,4,6,7,7,6,4,6,7,4,6
556300,2013,3,2,9,10,1,8,11,10,9,8,3,3,2,5,10,9,9,7,10,10,6,7,6,10,4,4,7,10,11,7,7,11,6,8,8,9,7,8,3,1,8,8,3,9,6,3,7,6,9,9,2,7,9,10,3,5,7,5,11,8,11,5,8,11,5,6,4,8,11,8,3,2,6,8,9,5,3,3,1,11,1,3,3,9,4,10,11,8,3,2,6,9,8,10,7,10,5,11,3,10,7,4,6,10,9,5,1,6,9,8,8,3,10,5,7,7,8,6,5,6,3,8,4,3,4,3,7,9,11,8,5,4,10,1,4,4,10,9,9,3,2,11,8,9,5,6,3,8,4,11,5,9,7,4,6,7,5,3,7,7,2,4,8,7,9,1,3,7,5,10,7,2,3,3,9,9,9,9,3,6,8,5,1,9,9,3,3,4,10,7,6,11,9,9,1,9,11,9,8,7,6,7,5,11,6,2,4,10,5,8,10,9,7,5,5,4,10,5,5,3,5,4,2,10,9,3,3,7,6,9,10,4,10,1,8,9,5,7,3,10,7,4,5,6,3,9,3,9,8,3
556400,2001,5,1,3,5,6,4,4,3,3,3,3,5,1,1,4,7,3,2,8,3,1,2,7,1,5,4,3,2,7,2,2,7,5,6,6,7,2,8,1,3,3,5,2,4,4,1,5,4,2,4,8,1,3,7,3,2,3,1,5,5,2,1,4,1,3,8,2,1,3,5,4,3,1,3,1,7,4,4,4,4,3,7,5,6,1,3,7,6,5,3,5,2,4,3,3,8,8,7,3,4,4,4,4,2,1,2,8,2,4,4,8,5,5,3,4,1,3,6,7,5,5,3,6,3,2,1,6,3,5,4,7,2,4,1,3,1,4,3,7,6,1,1,8,5,8,8,7,5,4,2,8,3,1,4,5,6,1,1,2,3,3,5,2,4,3,5,4,8,7,5,2,2,9,4,4,6,1,3,3,1,4,1,4,5,2,4,2,6,4,8,1,7,6,4,2,3,4,3,2,3,7,3,3,7,5,8,4,5,7,7,6,1,3,1,4,3,1,6,1,2,3,2,6,4,4,4,2,5,4,5,7,7,2,3,3,1,1,3,7,4,2,7,1,6,2,1,3,4,2,1
556400,2006,6,7,5,6,6,4,4,6,6,6,6,4,7,6,2,1,3,8,6,8,7,4,5,5,1,6,7,6,7,6,6,3,5,7,1,4,6,1,7,5,5,7,6,4,5,1,3,1,3,4,4,4,7,3,8,7,1,3,6,7,7,3,6,2,6,3,7,3,7,7,4,1,6,3,3,7,7,6,6,7,5,7,3,4,5,6,2,7,2,4,5,7,4,5,7,2,5,4,6,6,2,2,5,2,2,6,5,2,2,5,4,6,5,6,7,8,6,6,6,7,2,5,6,3,5,6,2,3,7,1,6,5,7,8,6,6,7,2,5,6,6,1,6,5,5,7,4,6,5,8,2,2,1,8,6,4,6,5,4,4,2,5,4,7,3,5,2,7,2,5,5,7,4,6,4,6,7,4,7,3,6,4,5,4,6,7,4,7,4,5,7,4,4,5,3,5,4,4,4,6,2,6,8,5,7,7,4,3,2,4,5,5,5,8,4,4,7,6,2,8,6,5,4,5,4,3,5,6,5,5,5,2,3,5,7,2,7,4,8,2,4,6,7,7,6,4,6,7,4,6
556400,2013,3,2,9,10,1,8,11,10,9,8,3,3,2,5,10,9,9,7,10,10,6,7,6,10,4,4,7,10,11,7,7,11,6,8,8,9,7,8,3,1,8,8,3,9,6,3,7,6,9,9,2,7,9,10,3,5,7,5,11,8,11,5,8,11,5,6,4,8,11,8,3,2,6,8,9,5,3,3,1,11,1,3,3,9,4,10,11,8,3,2,6,9,8,10,7,10,5,11,3,10,7,4,6,10,9,5,1,6,9,8,8,3,10,5,7,7,8,6,5,6,3,8,4,3,4,3,7,9,11,8,5,4,10,1,4,4,10,9,9,3,2,11,8,9,5,6,3,8,4,11,5,9,7,4,6,7,5,3,7,7,2,4,8,7,9,1,3,7,5,10,7,2,3,3,9,9,9,9,3,6,8,5,1,9,9,3,3,4,10,7,6,11,9,9,1,9,11,9,8,7,6,7,5,11,6,2,4,10,5,8,10,9,7,5,5,4,10,5,5,3,5,4,2,10,9,3,3,7,6,9,10,4,10,1,8,9,5,7,3,10,7,4,5,6,3,9,3,9,8,3
556500,2001,7,7,4,6,2,3,2,1,2,6,1,3,7,8,1,3,2,4,6,1,2,3,2,5,6,8,6,5,2,6,5,5,2,2,1,1,3,6,2,6,6,7,3,8,3,4,2,2,5,3,7,3,7,2,5,1,4,5,6,3,1,2,2,3,2,5,1,3,1,2,5,1,5,4,3,1,2,3,1,3,4,1,8,1,7,5,1,5,2,6,2,4,3,7,4,7,1,2,5,1,5,1,8,6,3,7,1,1,8,2,5,2,2,5,5,6,5,1,2,1,2,6,2,2,5,3,4,4,2,2,3,6,3,8,2,2,3,4,2,4,4,2,7,2,1,3,6,7,1,1,6,5,6,2,1,7,6,3,5,1,1,3,8,1,1,7,3,1,5,7,5,7,2,2,1,4,3,5,5,7,5,7,3,3,4,1,8,3,2,3,3,5,4,2,5,2,6,7,4,4,2,5,2,2,7,1,1,3,3,3,4,4,2,3,3,1,2,8,4,5,4,1,7,1,2,1,6,6,6,6,4,1,5,4,2,5,5,5,2,3,3,3,4,1,6,6,5,2,1,4
556500,2006,6,7,5,6,6,4,4,6,6,6,6,4,7,6,2,1,3,8,6,8,7,4,5,5,1,6,7,6,7,6,6,3,5,7,1,4,6,1,7,5,5,7,6,4,5,1,3,1,3,4,4,4,7,3,8,7,1,3,6,7,7,3,6,2,6,3,7,3,7,7,4,1,6,3,3,7,7,6,6,7,5,7,3,4,5,6,2,7,2,4,5,7,4,5,7,2,5,4,6,6,2,2,5,2,2,6,5,2,2,5,4,6,5,6,7,8,6,6,6,7,2,5,6,3,5,6,2,3,7,1,6,5,7,8,6,6,7,2,5,6,6,1,6,5,5,7,4,6,5,8,2,2,1,8,6,4,6,5,4,4,2,5,4,7,3,5,2,7,2,5,5,7,4,6,4,6,7,4,7,3,6,4,5,4,6,7,4,7,4,5,7,4,4,5,3,5,4,4,4,6,2,6,8,5,7,7,4,3,2,4,5,5,5,8,4,4,7,6,2,8,6,5,4,5,4,3,5,6,5,5,5,2,3,5,7,2,7,4,8,2,4,6,7,7,6,4,6,7,4,6
556500,2013,3,2,9,10,1,8,11,10,9,8,3,3,2,5,10,9,9,7,10,10,6,7,6,10,4,4,7,10,11,7,7,11,6,8,8,9,7,8,3,1,8,8,3,9,6,3,7,6,9,9,2,7,9,10,3,5,7,5,11,8,11,5,8,11,5,6,4,8,11,8,3,2,6,8,9,5,3,3,1,11,1,3,3,9,4,10,11,8,3,2,6,9,8,10,7,10,5,11,3,10,7,4,6,10,9,5,1,6,9,8,8,3,10,5,7,7,8,6,5,6,3,8,4,3,4,3,7,9,11,8,5,4,10,1,4,4,10,9,9,3,2,11,8,9,5,6,3,8,4,11,5,9,7,4,6,7,5,3,7,7,2,4,8,7,9,1,3,7,5,10,7,2,3,3,9,9,9,9,3,6,8,5,1,9,9,3,3,4,10,7,6,11,9,9,1,9,11,9,8,7,6,7,5,11,6,2,4,10,5,8,10,9,7,5,5,4,10,5,5,3,5,4,2,10,9,3,3,7,6,9,10,4,10,1,8,9,5,7,3,10,7,4,5,6,3,9,3,9,8,3
556600,2001,7,7,4,6,2,3,2,1,2,6,1,3,7,8,1,3,2,4,6,1,2,3,2,5,6,8,6,5,2,6,5,5,2,2,1,1,3,6,2,6,6,7,3,8,3,4,2,2,5,3,7,3,7,2,5,1,4,5,6,3,1,2,2,3,2,5,1,3,1,2,5,1,5,4,3,1,2,3,1,3,4,1,8,1,7,5,1,5,2,6,2,4,3,7,4,7,1,2,5,1,5,1,8,6,3,7,1,1,8,2,5,2,2,5,5,6,5,1,2,1,2,6,2,2,5,3,4,4,2,2,3,6,3,8,2,2,3,4,2,4,4,2,7,2,1,3,6,7,1,1,6,5,6,2,1,7,6,3,5,1,1,3,8,1,1,7,3,1,5,7,5,7,2,2,1,4,3,5,5,7,5,7,3,3,4,1,8,3,2,3,3,5,4,2,5,2,6,7,4,4,2,5,2,2,7,1,1,3,3,3,4,4,2,3,3,1,2,8,4,5,4,1,7,1,2,1,6,6,6,6,4,1,5,4,2,5,5,5,2,3,3,3,4,1,6,6,5,2,1,4
556600,2006,6,7,5,6,6,4,4,6,6,6,6,4,7,6,2,1,3,8,6,8,7,4,5,5,1,6,7,6,7,6,6,3,5,7,1,4,6,1,7,5,5,7,6,4,5,1,3,1,3,4,4,4,7,3,8,7,1,3,6,7,7,3,6,2,6,3,7,3,7,7,4,1,6,3,3,7,7,6,6,7,5,7,3,4,5,6,2,7,2,4,5,7,4,5,7,2,5,4,6,6,2,2,5,2,2,6,5,2,2,5,4,6,5,6,7,8,6,6,6,7,2,5,6,3,5,6,2,3,7,1,6,5,7,8,6,6,7,2,5,6,6,1,6,5,5,7,4,6,5,8,2,2,1,8,6,4,6,5,4,4,2,5,4,7,3,5,2,7,2,5,5,7,4,6,4,6,7,4,7,3,6,4,5,4,6,7,4,7,4,5,7,4,4,5,3,5,4,4,4,6,2,6,8,5,7,7,4,3,2,4,5,5,5,8,4,4,7,6,2,8,6,5,4,5,4,3,5,6,5,5,5,2,3,5,7,2,7,4,8,2,4,6,7,7,6,4,6,7,4,6
556600,2013,3,2,9,10,1,8,11,10,9,8,3,3,2,5,10,9,9,7,10,10,6,7,6,10,4,4,7,10,11,7,7,11,6,8,8,9,7,8,3,1,8,8,3,9,6,3,7,6,9,9,2,7,9,10,3,5,7,5,11,8,11,5,8,11,5,6,4,8,11,8,3,2,6,8,9,5,3,3,1,11,1,3,3,9,4,10,11,8,3,2,6,9,8,10,7,10,5,11,3,10,7,4,6,10,9,5,1,6,9,8,8,3,10,5,7,7,8,6,5,6,3,8,4,3,4,3,7,9,11,8,5,4,10,1,4,4,10,9,9,3,2,11,8,9,5,6,3,8,4,11,5,9,7,4,6,7,5,3,7,7,2,4,8,7,9,1,3,7,5,10,7,2,3,3,9,9,9,9,3,6,8,5,1,9,9,3,3,4,10,7,6,11,9,9,1,9,11,9,8,7,6,7,5,11,6,2,4,10,5,8,10,9,7,5,5,4,10,5,5,3,5,4,2,10,9,3,3,7,6,9,10,4,10,1,8,9,5,7,3,10,7,4,5,6,3,9,3,9,8,3
556700,2001,7,7,4,4,2,3,2,7,2,6,1,1,7,8,1,3,2,5,6,6,2,3,2,5,6,8,6,5,2,6,5,5,2,2,1,1,4,6,2,4,6,8,3,8,3,4,2,6,5,3,7,3,7,2,5,1,4,6,6,3,1,2,2,3,2,5,1,2,1,2,5,1,6,4,3,1,2,3,1,3,4,1,3,1,7,5,3,5,2,6,2,4,3,7,4,5,4,2,5,1,5,1,8,6,3,7,1,1,8,2,5,2,2,5,5,6,5,1,2,7,2,6,7,2,6,3,4,6,2,8,3,6,3,8,2,2,3,4,1,4,4,2,7,2,1,3,6,7,1,1,6,5,6,2,1,5,6,3,5,1,1,3,8,5,1,7,3,7,5,7,5,7,2,2,1,3,6,5,5,7,5,7,3,7,4,6,8,3,2,7,3,5,4,2,5,2,8,7,4,4,2,4,2,2,7,3,1,3,3,3,4,4,2,3,3,1,2,8,4,4,4,1,7,1,2,6,6,6,6,6,4,1,6,4,2,5,5,5,2,3,3,2,4,1,5,6,5,2,1,3
556700,2006,6,7,5,6,6,4,4,6,6,6,6,4,7,6,2,1,3,8,6,8,7,4,5,5,1,6,7,6,7,6,6,3,5,7,1,4,6,1,7,5,5,7,6,4,5,1,3,1,3,4,4,4,7,3,8,7,1,3,6,7,7,3,6,2,6,3,7,3,7,7,4,1,6,3,3,7,7,6,6,7,5,7,3,4,5,6,2,7,2,4,5,7,4,5,7,2,5,4,6,6,2,2,5,2,2,6,5,2,2,5,4,6,5,6,7,8,6,6,6,7,2,5,6,3,5,6,2,3,7,1,6,5,7,8,6,6,7,2,5,6,6,1,6,5,5,7,4,6,5,8,2,2,1,8,6,4,6,5,4,4,2,5,4,7,3,5,2,7,2,5,5,7,4,6,4,6,7,4,7,3,6,4,5,4,6,7,4,7,4,5,7,4,4,5,3,5,4,4,4,6,2,6,8,5,7,7,4,3,2,4,5,5,5,8,4,4,7,6,2,8,6,5,4,5,4,3,5,6,5,5,5,2,3,5,7,2,7,4,8,2,4,6,7,7,6,4,6,7,4,6
556700,2013,3,2,9,10,1,8,11,10,9,8,3,3,2,5,10,9,9,7,10,10,6,7,6,10,4,4,7,10,11,7,7,11,6,8,8,9,7,8,3,1,8,8,3,9,6,3,7,6,9,9,2,7,9,10,3,5,7,5,11,8,11,5,8,11,5,6,4,8,11,8,3,2,6,8,9,5,3,3,1,11,1,3,3,9,4,10,11,8,3,2,6,9,8,10,7,10,5,11,3,10,7,4,6,10,9,5,1,6,9,8,8,3,10,5,7,7,8,6,5,6,3,8,4,3,4,3,7,9,11,8,5,4,10,1,4,4,10,9,9,3,2,11,8,9,5,6,3,8,4,11,5,9,7,4,6,7,5,3,7,7,2,4,8,7,9,1,3,7,5,10,7,2,3,3,9,9,9,9,3,6,8,5,1,9,9,3,3,4,10,7,6,11,9,9,1,9,11,9,8,7,6,7,5,11,6,2,4,10,5,8,10,9,7,5,5,4,10,5,5,3,5,4,2,10,9,3,3,7,6,9,10,4,10,1,8,9,5,7,3,10,7,4,5,6,3,9,3,9,8,3
556800,2001,7,5,8,4,8,1,8,2,4,2,4,1,4,3,2,6,5,8,2,6,6,4,1,7,7,3,2,4,4,4,7,6,1,8,5,6,6,4,7,4,4,8,6,6,5,8,6,6,6,5,3,4,2,4,8,8,4,6,3,2,5,6,1,8,5,4,8,4,6,1,7,5,6,2,4,3,6,2,1,7,1,8,3,3,2,4,6,3,7,6,4,7,6,5,6,6,7,2,8,3,5,8,8,6,5,6,6,7,8,8,5,2,4,4,8,7,6,4,1,7,6,6,8,7,8,5,8,6,4,5,4,4,1,5,4,4,8,2,1,4,3,7,4,7,2,7,5,6,2,7,3,5,2,6,6,5,3,4,6,7,4,4,6,5,2,3,6,3,5,6,8,3,6,1,7,3,6,7,8,3,7,8,5,7,8,5,4,2,5,7,6,5,7,5,6,4,7,6,5,7,3,4,5,4,3,3,3,1,5,1,3,3,6,5,6,6,2,5,2,4,4,5,5,7,5,5,4,8,1,7,2,6,7,6,2,3,7,7,3,6,4,6,3,4,3,5,4,7,4,3
556800,2006,6,7,5,6,6,4,4,6,6,6,6,4,7,6,2,1,3,8,6,8,7,4,5,5,1,6,7,6,7,6,6,3,5,7,1,4,6,1,7,5,5,7,6,4,5,1,3,1,3,4,4,4,7,3,8,7,1,3,6,7,7,3,6,2,6,3,7,3,7,7,4,1,6,3,3,7,7,6,6,7,5,7,3,4,5,6,2,7,2,4,5,7,4,5,7,2,5,4,6,6,2,2,5,2,2,6,5,2,2,5,4,6,5,6,7,8,6,6,6,7,2,5,6,3,5,6,2,3,7,1,6,5,7,8,6,6,7,2,5,6,6,1,6,5,5,7,4,6,5,8,2,2,1,8,6,4,6,5,4,4,2,5,4,7,3,5,2,7,2,5,5,7,4,6,4,6,7,4,7,3,6,4,5,4,6,7,4,7,4,5,7,4,4,5,3,5,4,4,4,6,2,6,8,5,7,7,4,3,2,4,5,5,5,8,4,4,7,6,2,8,6,5,4,5,4,3,5,6,5,5,5,2,3,5,7,2,7,4,8,2,4,6,7,7,6,4,6,7,4,6
556800,2013,3,2,9,10,1,8,11,10,9,8,3,3,2,5,10,9,9,7,10,10,6,7,6,10,4,4,7,10,11,7,7,11,6,8,8,9,7,8,3,1,8,8,3,9,6,3,7,6,9,9,2,7,9,10,3,5,7,5,11,8,11,5,8,11,5,6,4,8,11,8,3,2,6,8,9,5,3,3,1,11,1,3,3,9,4,10,11,8,3,2,6,9,8,10,7,10,5,11,3,10,7,4,6,10,9,5,1,6,9,8,8,3,10,5,7,7,8,6,5,6,3,8,4,3,4,3,7,9,11,8,5,4,10,1,4,4,10,9,9,3,2,11,8,9,5,6,3,8,4,11,5,9,7,4,6,7,5,3,7,7,2,4,8,7,9,1,3,7,5,10,7,2,3,3,9,9,9,9,3,6,8,5,1,9,9,3,3,4,10,7,6,11,9,9,1,9,11,9,8,7,6,7,5,11,6,2,4,10,5,8,10,9,7,5,5,4,10,5,5,3,5,4,2,10,9,3,3,7,6,9,10,4,10,1,8,9,5,7,3,10,7,4,5,6,3,9,3,9,8,3
556900,2001,7,7,4,6,2,3,2,1,2,6,1,3,7,8,1,3,2,4,6,1,2,3,2,5,6,8,6,5,2,6,5,5,2,2,1,1,3,6,2,6,6,7,3,8,3,4,2,2,5,3,7,3,7,2,5,1,4,5,6,3,1,2,2,3,2,5,1,3,1,2,5,1,5,4,3,1,2,3,1,3,4,1,8,1,7,5,1,5,2,6,2,4,3,7,4,7,1,2,5,1,5,1,8,6,3,7,1,1,8,2,5,2,2,5,5,6,5,1,2,1,2,6,2,2,5,3,4,4,2,2,3,6,3,8,2,2,3,4,2,4,4,2,7,2,1,3,6,7,1,1,6,5,6,2,1,7,6,3,5,1,1,3,8,1,1,7,3,1,5,7,5,7,2,2,1,4,3,5,5,7,5,7,3,3,4,1,8,3,2,3,3,5,4,2,5,2,6,7,4,4,2,5,2,2,7,1,1,3,3,3,4,4,2,3,3,1,2,8,4,5,4,1,7,1,2,1,6,6,6,6,4,1,5,4,2,5,5,5,2,3,3,3,4,1,6,6,5,2,1,4
556900,2006,6,7,5,6,6,4,4,6,6,6,6,4,7,6,2,1,3,8,6,8,7,4,5,5,1,6,7,6,7,6,6,3,5,7,1,4,6,1,7,5,5,7,6,4,5,1,3,1,3,4,4,4,7,3,8,7,1,3,6,7,7,3,6,2,6,3,7,3,7,7,4,1,6,3,3,7,7,6,6,7,5,7,3,4,5,6,2,7,2,4,5,7,4,5,7,2,5,4,6,6,2,2,5,2,2,6,5,2,2,5,4,6,5,6,7,8,6,6,6,7,2,5,6,3,5,6,2,3,7,1,6,5,7,8,6,6,7,2,5,6,6,1,6,5,5,7,4,6,5,8,2,2,1,8,6,4,6,5,4,4,2,5,4,7,3,5,2,7,2,5,5,7,4,6,4,6,7,4,7,3,6,4,5,4,6,7,4,7,4,5,7,4,4,5,3,5,4,4,4,6,2,6,8,5,7,7,4,3,2,4,5,5,5,8,4,4,7,6,2,8,6,5,4,5,4,3,5,6,5,5,5,2,3,5,7,2,7,4,8,2,4,6,7,7,6,4,6,7,4,6
